id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,date
18732,2,3,6,1980,5800,1,0,0,4,8,1520,460,1949,0,98199,2280,5800,154
565,2,4,10,4120,22370,2,0,0,3,10,4120,0,1997,0,98074,3180,7257,42
3010,1,4,9,2020,4840,1.5,0,0,5,8,1200,820,1925,0,98126,1410,4840,226
220,2,2,9,3900,14864,1,0,3,3,8,1950,1950,1947,0,98144,2580,5184,119
16871,2,4,8,2530,15520,1,0,0,5,8,2220,310,1964,0,98005,2500,13300,83
17610,2,4,11,3600,5040,2,0,0,3,9,2610,990,2004,0,98199,1590,5040,314
7501,1,2,4,870,5750,1,0,0,4,7,870,0,1947,0,98116,1100,5750,59
10123,2,4,10,2620,8312,2,0,0,3,9,2620,0,1990,0,98074,2260,8515,255
1408,1,3,10,1260,3855,2,0,0,3,8,1260,0,1999,0,98059,1310,3344,97
12474,1,4,7,1890,9623,1,0,0,4,7,1290,600,1969,0,98001,1510,9711,355
5649,2,2,4,1520,5400,1,0,0,3,7,920,600,1951,0,98115,1600,5400,151
8805,2,3,13,2230,5460,1,0,1,4,8,1430,800,1977,0,98136,2070,5600,326
19982,1,3,11,2600,64626,1.5,0,0,3,8,2600,0,2009,0,98014,1740,64626,56
2049,2,4,7,1860,9750,1,0,0,3,7,1460,400,1969,0,98034,1900,8913,333
8522,2,2,4,900,5000,1,0,0,3,7,900,0,1944,0,98117,1280,5000,1
16244,1,4,12,2060,9138,1,0,0,3,8,1430,630,1992,0,98092,2250,7820,269
16576,1,2,4,800,10625,1,0,0,3,6,800,0,1942,0,98168,1130,10625,140
17407,1,3,9,1600,10240,1,0,0,3,7,1090,510,1979,0,98034,1520,9394,48
1941,2,3,10,2260,4165,2,0,0,3,7,2260,0,2005,0,98075,2770,4566,38
7731,1,2,8,1250,1178,2,0,0,3,7,980,270,1996,0,98136,1270,1242,327
14572,1,4,7,1540,5120,1,0,0,5,6,770,770,1943,0,98126,1080,5120,53
157,1,3,4,1180,7669,1,0,0,4,7,1180,0,1967,0,98058,1190,7669,88
9701,1,2,6,1050,934,2,0,0,3,8,960,90,2007,0,98122,1470,1885,219
2976,2,4,14,4860,23885,2,0,0,3,12,4860,0,1996,0,98039,3580,16054,120
17445,2,3,10,2430,5128,1,0,1,3,8,1270,1160,1978,0,98136,2510,5330,208
20224,2,3,9,1540,1005,3,0,0,3,8,1540,0,2008,0,98103,1510,1501,218
11827,1,4,10,1980,4745,2,0,0,3,7,1980,0,2004,0,98038,1980,4878,176
20325,2,3,10,1780,1647,2,0,0,3,8,1080,700,2008,0,98103,2000,1741,348
2344,2,3,10,2490,4343,2,0,0,3,9,2490,0,2003,0,98029,2130,4106,3
11692,1,3,4,1660,6992,1,0,0,5,7,1260,400,1952,0,98155,1390,7359,112
5805,1,4,10,3200,22651,1,0,0,5,8,1610,1590,1970,0,98031,2030,5500,55
7850,1,3,4,1150,8924,1,0,0,3,6,1150,0,1943,0,98030,1492,8924,362
10016,2,4,9,1890,8034,1,0,0,4,8,1890,0,1967,0,98008,1920,7210,111
11737,1,6,10,3060,17112,1,0,0,4,8,1530,1530,1967,0,98058,2690,16038,244
7826,1,2,4,1420,4305,1,0,0,4,7,920,500,1941,0,98115,1420,4305,175
6094,1,3,4,1010,8848,1,0,0,4,7,1010,0,1968,0,98003,1380,10650,81
9466,1,4,10,1930,8660,1,0,0,3,7,1120,810,1981,0,98001,1830,9591,42
8765,2,5,13,3690,12353,2,0,0,5,9,3690,0,1977,0,98155,2290,9082,14
8018,1,4,11,2500,26400,1,0,0,3,8,1780,720,1977,0,98031,2180,31900,356
268,1,3,4,1120,10701,1,0,0,3,7,1120,0,1954,0,98106,1130,6350,151
14153,2,3,12,3610,17483,2,0,2,4,8,3610,0,1954,0,98146,2230,12600,354
20010,2,3,9,1640,1873,3,0,0,3,8,1640,0,2014,0,98112,1640,3920,217
9247,2,4,7,1860,7700,1,0,0,4,8,1860,0,1964,0,98008,1860,7700,148
11098,1,4,4,1740,11075,1.5,0,0,3,7,1740,0,1965,0,98133,1580,7684,39
19316,1,3,7,1120,98445,1.5,0,2,4,7,1120,0,1917,0,98022,1620,34200,187
2942,2,4,10,2170,9600,1,0,0,3,7,1460,710,1980,0,98052,1940,8400,32
4687,2,3,10,2300,9752,2,0,2,3,8,2300,0,1968,2003,98075,2640,10764,346
20950,2,3,11,2450,5750,2,0,0,3,9,2450,0,2013,0,98065,3200,8036,325
14567,1,5,13,3800,15500,1,0,0,3,7,2490,1310,1965,0,98032,2000,13980,313
11324,2,5,11,2910,15118,1,0,0,5,9,1780,1130,1972,0,98006,2880,15253,105
4568,1,3,4,1150,7156,1,0,0,4,6,1150,0,1953,0,98168,1210,7156,49
15562,2,5,13,5600,107157,2,0,0,3,10,3440,2160,1988,0,98072,3470,75794,338
20753,2,5,14,3740,5610,2,0,0,3,9,2860,880,2014,0,98117,1520,4590,145
6214,2,4,10,1840,7800,1,0,2,3,8,1240,600,1972,0,98177,2010,9100,272
4915,1,3,6,1900,9994,1,0,0,3,7,1120,780,1960,0,98168,1900,9994,354
14047,1,2,9,930,747,2,0,0,3,8,630,300,2007,0,98144,940,6000,53
3900,1,3,10,1639,2710,2,0,0,3,8,1479,160,2003,0,98144,1580,1733,112
11497,1,2,6,1020,1146,3,0,0,3,7,1020,0,2001,0,98115,1138,1156,252
12766,1,4,8,1960,5008,1,0,0,3,6,980,980,1900,1988,98144,1175,2315,273
6064,1,2,4,870,8400,1,0,0,3,7,870,0,1960,0,98188,1070,12465,173
1212,2,4,7,1760,5356,1,0,0,4,7,920,840,1950,0,98115,1680,5184,189
7545,2,2,4,1100,4160,1,0,0,3,7,1100,0,1919,0,98109,1900,4000,113
3702,1,3,8,1110,7231,1,0,0,4,7,1110,0,1991,0,98031,1550,7245,62
12053,2,3,7,1760,4125,1.5,0,3,4,7,1760,0,1927,0,98103,1760,4000,201
21181,2,4,13,2930,25020,2,0,0,3,9,2930,0,2013,0,98029,2400,32374,359
12718,1,3,7,1700,8360,1,0,0,4,7,850,850,1955,0,98006,1520,8360,174
14692,2,3,10,4040,8653,2,0,0,3,9,2900,1140,2006,0,98019,3360,8653,233
6295,1,3,7,1090,7647,1,0,0,3,7,1090,0,1994,0,98003,1660,9219,318
4889,2,3,10,3780,35273,1.5,0,0,3,10,3780,0,1986,0,98072,3450,35273,147
9477,1,3,7,1770,29004,1,0,0,3,8,1770,0,1959,0,98023,2300,24534,69
2276,1,3,4,1280,6726,1,0,0,3,6,1280,0,1958,0,98144,1630,5000,220
2527,2,5,10,1710,9720,2,0,0,4,8,1710,0,1974,0,98005,2270,9672,92
8305,2,3,11,2390,21804,1,0,0,3,8,1450,940,1973,0,98034,2390,10136,320
7814,1,3,7,1740,8625,1,0,0,4,7,1240,500,1978,0,98023,1980,8625,362
17293,2,4,10,2270,11500,1,0,0,3,8,1540,730,1967,0,98034,2020,10918,288
14672,1,3,8,1410,4800,1,0,0,3,7,1410,0,1940,0,98117,1190,3840,7
7230,2,4,9,2040,12000,1,0,0,4,7,1300,740,1963,0,98028,1930,12000,348
8368,1,3,6,1610,10291,1,0,0,4,7,1610,0,1961,0,98022,1410,7729,154
7685,2,3,8,1460,2800,1,0,0,4,7,730,730,1921,0,98105,1780,4560,353
18108,1,3,9,1540,5449,1,0,0,2,7,1180,360,1989,0,98023,1460,6740,225
17299,1,4,4,1020,11383,1.5,0,0,5,6,1020,0,1947,0,98155,1290,11213,216
13762,2,4,10,2020,3440,1.5,0,0,4,7,1480,540,1928,0,98117,1520,5080,145
17747,1,3,9,1780,7332,2,0,0,3,7,1780,0,1987,0,98038,1510,7625,182
10108,1,4,10,2180,7203,2,0,0,4,8,2180,0,1989,0,98059,2350,7334,40
7758,1,2,4,790,5120,1,0,0,3,6,790,0,1950,0,98136,1250,5120,367
722,1,3,10,1670,6186,2,0,0,3,7,1670,0,2002,0,98038,2390,6924,99
879,1,3,8,1910,11576,1,0,0,3,7,1410,500,1978,0,98011,2040,8750,209
9546,1,4,10,1780,6000,2,0,0,3,7,1780,0,1991,0,98198,1630,6000,62
15498,1,3,7,1100,10005,1,0,0,5,7,1100,0,1964,0,98056,1340,9709,347
5177,1,3,7,1530,8800,1,0,0,4,7,1040,490,1967,0,98058,1530,8690,359
15165,1,4,6,1960,5000,1,0,0,3,7,980,980,1912,0,98106,1300,5000,334
19356,1,3,7,1500,13430,1,0,0,3,7,1500,0,1977,0,98072,1500,13430,54
16346,1,4,10,3560,12047,2,0,0,3,10,3560,0,1988,0,98023,3420,11250,69
335,2,2,4,1070,5000,1,0,0,3,7,1070,0,1924,0,98103,1710,5000,340
6955,1,2,4,1810,8527,1.5,0,0,4,7,1810,0,1943,0,98133,1490,6800,112
13764,2,3,7,4060,136290,1,0,0,3,8,2810,1250,1995,0,98045,1300,51836,333
710,1,3,7,1490,7150,1,0,0,5,6,1490,0,1967,0,98059,1350,9100,96
19807,1,3,7,1320,1014,3,0,0,3,9,1320,0,2015,0,98122,1380,1495,92
2480,1,3,9,1260,1488,3,0,0,3,7,1260,0,2009,0,98133,1190,1095,226
5836,2,3,10,3420,25150,1,0,0,4,10,1750,1670,1987,0,98006,2900,19604,68
3922,2,2,7,2770,19700,2,0,0,3,8,1780,990,1983,0,98177,2360,9700,102
16559,2,4,16,2630,59586,1,0,0,3,7,1470,1160,1963,0,98055,2230,5715,280
10694,1,4,10,2382,5899,2,0,0,3,8,2382,0,2011,0,98003,2382,5897,110
20348,1,4,14,2260,30250,2,0,0,3,7,2260,0,2013,0,98188,1270,16350,327
5311,2,3,10,2210,7620,2,0,0,3,8,2210,0,1994,0,98052,1920,7440,21
4138,2,3,10,3110,11727,2,0,2,3,9,3110,0,2002,0,98065,4240,13353,255
15654,1,4,7,1870,16549,1,0,0,3,8,1870,0,1969,0,98072,1870,10804,244
16710,1,3,8,2000,10490,1,0,0,3,8,1430,570,1978,0,98033,1530,7659,170
7144,1,3,7,2220,11646,1,0,0,3,7,1270,950,1950,0,98028,1490,10003,67
7058,1,4,10,1980,5909,2,0,0,3,8,1980,0,2003,0,98031,2550,5487,38
11078,1,4,9,3680,26266,2,0,0,4,9,3680,0,1981,0,98042,2340,19939,173
18721,1,4,4,1260,7800,1.5,0,0,3,7,1260,0,1947,2007,98125,1639,7492,290
2747,2,3,8,2870,6360,1.5,0,1,4,8,1790,1080,1946,0,98115,2310,6466,120
13182,1,3,8,1490,8847,1,0,0,4,7,1490,0,1967,0,98177,1640,7572,208
11529,2,2,4,1020,5000,1,0,0,4,7,1020,0,1916,0,98117,1480,5000,120
7741,2,5,6,1940,3430,1.5,0,0,4,6,1220,720,1926,0,98117,1830,4120,340
13306,1,4,7,1490,9112,1,0,0,3,6,970,520,1940,0,98146,1650,8411,152
7821,1,2,4,850,6370,1,0,0,3,6,850,0,1951,0,98126,850,5170,289
16992,1,3,6,1580,10100,1,0,0,4,7,1580,0,1961,0,98055,1650,10032,234
11775,2,2,4,2160,7439,1,0,0,4,6,1300,860,1953,0,98115,1680,7439,342
13281,2,3,4,2090,4000,1.5,0,2,3,8,1890,200,1931,0,98199,2090,4000,219
21327,2,3,10,3090,384634,2,0,0,3,8,3090,0,2007,0,98019,2200,292645,196
7078,2,3,16,2550,3900,2,0,2,3,8,2050,500,1940,2003,98199,2340,6400,90
15702,1,3,10,1650,2802,2,0,0,3,7,1650,0,2004,0,98055,1490,2084,119
12992,2,4,10,2500,50595,2,0,0,3,9,2500,0,1997,0,98045,2765,33720,217
13266,2,3,7,1620,3975,1,0,0,5,7,940,680,1926,0,98117,1320,3922,21
18525,1,3,13,1510,1850,2,0,2,3,8,1230,280,2001,0,98107,1540,1840,196
972,2,3,7,1330,5000,2,0,0,4,7,1210,120,1909,0,98116,1500,4000,181
19151,2,3,9,2480,15022,1,0,4,3,9,1330,1150,1967,2003,98136,2500,8178,141
20045,2,5,16,1680,7268,1,0,0,3,8,1370,310,2008,0,98106,2040,8259,337
11357,2,3,7,1790,6117,1,0,2,3,8,1350,440,1940,0,98199,1960,5554,13
20587,2,4,10,3260,6902,2,0,0,3,8,3260,0,2008,0,98059,3130,6588,258
17352,2,4,12,2190,5085,2,0,0,4,8,2190,0,1992,0,98029,2130,5142,146
9145,1,3,4,1180,7210,1,0,0,4,7,1180,0,1963,0,98034,1700,7210,126
5609,2,4,13,3270,6027,2,0,0,3,10,3270,0,2001,0,98074,3270,6546,95
6374,2,5,16,2980,4500,1.5,0,0,3,7,2070,910,1921,0,98115,1560,4225,343
16640,1,2,6,1270,1282,2,0,0,3,8,1000,270,2006,0,98106,1270,1325,356
13585,1,3,9,1530,7906,1,0,0,3,7,1150,380,1980,0,98058,1460,7875,279
354,1,3,4,1900,14400,1,0,0,4,7,1300,600,1954,0,98166,1940,14400,265
21366,1,3,6,1400,1091,3,0,0,3,8,1400,0,2007,0,98115,1270,1413,209
7568,2,4,14,3380,8098,1,0,1,5,9,1690,1690,1952,0,98033,1890,8400,133
2811,2,3,10,2190,4882,2,0,0,3,9,2190,0,1999,0,98155,2190,7055,32
7881,1,3,10,1970,7500,2,0,0,3,8,1970,0,1988,0,98092,1950,8220,41
16416,1,5,7,1890,9600,1,0,0,4,7,1890,0,1960,0,98028,2350,5308,248
2166,1,3,4,1230,10350,1,0,0,4,7,1230,0,1957,0,98055,1510,10427,13
4047,2,4,6,1790,4080,1.5,0,0,5,7,1790,0,1928,0,98144,1710,4080,338
6173,1,4,6,1440,8680,1.5,0,0,3,7,1440,0,1922,0,98178,1440,9000,319
19038,1,2,6,1400,1650,3,0,0,3,7,1400,0,1999,0,98125,1430,1650,231
13129,1,2,9,1390,1222,3,0,0,3,7,1340,50,2009,0,98052,1480,1369,223
1750,1,2,4,1320,4520,1,0,1,3,6,1320,0,1912,1971,98116,1420,4560,13
16593,2,4,10,2500,8282,2,0,0,3,9,2500,0,2013,0,98056,2500,8046,144
18402,2,4,9,3240,12930,2,0,0,4,9,2730,510,1968,0,98040,2610,12884,196
2601,1,2,4,900,7620,1,0,0,3,7,900,0,1971,0,98106,1520,7620,347
2523,1,3,10,1560,4200,2,0,0,3,7,1560,0,2003,0,98038,1560,4200,39
10139,1,4,7,1680,15084,1,0,0,4,7,840,840,1979,0,98014,1800,15092,155
5944,2,4,11,3090,6200,2,0,0,3,9,3090,0,2014,0,98006,2890,10108,248
20090,1,3,10,1350,874,3,0,0,3,8,1270,80,2006,0,98136,1350,886,254
4321,1,3,10,2390,6435,1,0,0,3,8,1600,790,1978,0,98034,2020,7300,231
8936,1,3,4,1470,7930,1,0,0,3,7,1070,400,1950,0,98177,1440,8100,117
8845,1,2,10,1370,1140,2,0,0,3,8,1080,290,2009,0,98133,1340,1050,98
15899,1,4,10,2680,4500,2,0,0,3,8,2680,0,2011,0,98038,2010,4500,112
15887,1,4,8,1560,5220,1,0,0,3,7,1560,0,1959,0,98115,1300,5220,349
19054,1,4,8,1220,9147,1,0,0,5,7,1220,0,1953,0,98146,1220,8576,353
399,1,4,8,1940,25600,1,0,0,1,8,1940,0,1962,0,98006,2000,10071,52
7361,1,5,11,3220,8160,2,0,0,3,9,3220,0,1999,0,98001,2876,11521,137
17423,1,2,4,720,8914,1,0,0,3,6,720,0,1949,0,98188,1100,8916,345
6860,1,3,10,1770,8640,1,0,0,3,7,1420,350,1986,0,98001,1894,7974,78
20763,2,3,10,2810,5400,2,0,0,3,9,2810,0,2005,0,98052,2870,5400,26
4831,1,2,4,800,3090,1,0,0,4,6,800,0,1925,0,98118,1400,3090,183
19655,1,5,10,2340,4500,2,0,0,3,7,2340,0,2009,0,98059,2190,4500,45
20610,2,4,11,3110,6050,2,0,0,3,9,3110,0,2014,0,98052,3590,6054,92
14517,1,2,4,1270,3200,1,0,0,4,7,960,310,1920,0,98103,1410,1320,26
3652,1,4,11,2310,14745,1,0,0,3,7,1410,900,1993,0,98198,2060,9678,339
19717,2,2,9,1430,1210,2,0,0,3,8,1340,90,2005,0,98115,1430,1016,125
20489,2,4,13,2190,4265,2,0,0,3,9,1540,650,2015,0,98122,1730,4265,356
5916,2,3,8,1600,9638,1,0,0,5,7,1600,0,1952,0,98040,1800,11400,336
9371,2,3,4,1630,3200,1.5,0,0,4,8,1630,0,1912,0,98109,1710,3600,144
7363,2,3,10,2490,23891,2,0,0,3,9,2490,0,1993,0,98053,2900,34705,62
15985,1,3,7,1130,7000,1,0,0,3,7,1130,0,1978,0,98023,1830,8880,244
18476,2,2,4,1100,2800,1,0,0,3,7,1100,0,1925,0,98119,1110,1673,318
9411,2,4,14,2650,3060,2,0,0,3,9,2060,590,2001,0,98103,1470,3060,46
17434,1,3,7,1220,8817,1,0,0,3,7,1220,0,1978,0,98023,2000,8028,346
6613,2,4,10,2720,13500,1,0,0,3,8,1510,1210,1969,0,98007,2510,12350,217
17719,1,3,10,1340,4200,2,0,0,3,7,1340,0,2002,0,98002,990,4520,328
7622,2,2,4,1420,3100,1,0,0,3,7,820,600,1924,0,98107,1420,3915,375
16727,1,3,4,1200,6250,1,0,0,3,6,920,280,1943,0,98168,1280,9375,25
3335,1,2,7,2510,19141,2,0,0,3,9,2510,0,1977,0,98092,2400,13030,163
15158,1,3,7,1720,9775,1,0,0,3,8,1720,0,1978,0,98032,1970,8400,176
15944,1,4,8,1950,8040,1,0,0,3,7,1950,0,1961,0,98125,1950,8092,77
7318,1,4,8,1180,7275,1,0,0,3,7,1180,0,1965,0,98034,1210,7275,244
12951,1,4,9,2140,8874,2,0,0,3,8,2140,0,1986,0,98092,2140,8789,261
4504,2,4,4,1260,4080,1,0,0,4,7,1260,0,1911,0,98105,1340,4080,155
6990,2,4,7,2140,8000,1,0,0,4,8,1410,730,1965,0,98007,2080,8000,320
1299,1,2,6,1490,4080,1,0,0,3,7,930,560,1956,0,98126,1320,4080,35
2772,2,3,4,1440,13824,1,0,0,4,7,1440,0,1957,0,98040,2540,12092,288
14014,2,3,7,1900,5000,1,0,0,4,7,950,950,1925,0,98106,1420,5000,305
20903,1,3,10,2150,4332,2,0,0,3,8,2150,0,2013,0,98019,2140,4332,252
4332,1,3,7,1460,9261,1,0,0,3,7,1460,0,1985,0,98056,1550,8800,95
